2024-08-29 00:57:06 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 00:57:07 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 4688 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 00:57:07 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 00:57:56 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 00:57:57 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 17792 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 00:57:57 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:28:32 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:28:33 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 22196 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:28:33 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:29:28 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:29:29 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 31216 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:29:29 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:29:31 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:29:32 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 33184 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:29:32 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:30:17 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:30:18 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 32996 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:30:18 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:32:27 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:32:28 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 31264 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:32:28 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:34:25 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:34:25 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 26880 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:34:25 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:35:36 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:35:37 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 23196 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:35:37 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:37:34 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:37:35 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 21016 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:37:35 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:38:52 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:38:52 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 26368 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:38:52 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:43:21 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 02:43:22 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 17292 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 02:43:22 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 02:43:26 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 5.14 seconds (process running for 6.794)
2024-08-29 02:43:32 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-08-29 03:45:31 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 03:45:32 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 16088 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 03:45:32 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 03:46:03 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 03:46:04 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 2008 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 03:46:04 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 03:46:09 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 4.933 seconds (process running for 6.089)
2024-08-29 03:46:17 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=Соседи приходят, им слышится стук копыт, мешают уснуть, тревожат их сон., originalLanguage=ru, finalLanguage=be]
2024-08-29 03:46:17 INFO  c.t.services.TranslationServiceImpl - Sending translation request: text = Соседи приходят, им слышится стук копыт, мешают уснуть, тревожат их сон. 
2024-08-29 03:46:59 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-08-29 03:47:08 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 03:47:12 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-29 03:47:13 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 33328 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-08-29 03:47:13 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-29 03:47:19 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 6.198 seconds (process running for 7.639)
2024-08-29 03:47:24 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=Соседи приходят, им слышится стук копыт, мешают уснуть, тревожат их сон., originalLanguage=ru, finalLanguage=be]
2024-08-29 03:47:24 INFO  c.t.services.TranslationServiceImpl - Sending translation request: text = Соседи приходят, им слышится стук копыт, мешают уснуть, тревожат их сон. 
2024-08-29 03:47:51 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-08-29 03:47:52 INFO  c.t.services.TranslationServiceImpl - Request has received: text = Соседи приходят, им слышится стук копыт, мешают уснуть, тревожат их сон. 
2024-08-29 03:47:52 INFO  c.t.services.TranslationServiceImpl - Translation successfully completed
