2024-09-13 16:05:21 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = илья 
2024-09-13 16:05:22 INFO  c.t.external.TranslationDefiner - Request has received: text = илья 
2024-09-13 16:05:22 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 16:05:22 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=илья, originalLang=ru, translatedText=ilia, targetLang=be, time=2024/09/13 16:05:22, status=200, message=Ok]
2024-09-13 16:05:22 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 16:05:22 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 16:05:22 INFO  c.t.controller.TranslationController - Response is sending to user
2024-09-13 18:45:48 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=ru,, originalLanguage=be, finalLanguage=я люблю тебя, дорогая]
2024-09-13 18:45:48 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = ru, 
2024-09-13 18:45:48 INFO  c.t.external.TranslationDefiner - Request has received: text = ru, 
2024-09-13 18:45:48 ERROR c.t.external.TranslationDefiner - Something goes wrong with translation for text <ru,>, status is 403
2024-09-13 18:45:48 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=ru,, originalLang=be, translatedText=, targetLang=я люблю тебя, дорогая, time=2024/09/13 18:45:48, status=403, message='я люблю тебя, дорогая' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-09-13 18:45:48 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:45:49 ERROR com.tinkoff_lab.dao.jdbc.TranslationDAO - Insertion of query in database goes wrong!
2024-09-13 18:47:32 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, originalLanguage=ru, finalLanguage=be]
2024-09-13 18:47:32 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя 
2024-09-13 18:47:32 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя 
2024-09-13 18:47:32 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 18:47:33 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, originalLang=ru, translatedText=я цябе люблю, targetLang=be, time=2024/09/13 18:47:33, status=200, message=Ok]
2024-09-13 18:47:33 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:47:33 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 18:47:33 INFO  c.t.controller.TranslationController - Response is sending to user
2024-09-13 18:48:31 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, originalLanguage=ru,, finalLanguage=be]
2024-09-13 18:48:31 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя 
2024-09-13 18:48:31 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя 
2024-09-13 18:48:31 ERROR c.t.external.TranslationDefiner - Something goes wrong with translation for text <я люблю тебя>, status is 403
2024-09-13 18:48:31 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, originalLang=ru,, translatedText=, targetLang=be, time=2024/09/13 18:48:31, status=403, message='RU,' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-09-13 18:48:31 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:48:31 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 18:48:46 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, дорогая, originalLanguage=ru, finalLanguage=be]
2024-09-13 18:48:46 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя, дорогая 
2024-09-13 18:48:47 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя, дорогая 
2024-09-13 18:48:47 INFO  c.t.external.TranslationDefiner - Translation successfully completed
