2025-02-18 17:12:30 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-18 17:12:31 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 10168 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-18 17:12:31 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-18 17:13:17 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-18 17:13:18 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 4880 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-18 17:13:18 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-18 17:14:17 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-18 17:14:17 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 20036 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-18 17:14:17 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-18 17:14:35 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-18 17:14:35 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 9640 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-18 17:14:35 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-18 17:15:31 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-18 17:15:32 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 21392 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-18 17:15:32 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-18 17:19:11 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-18 17:19:12 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 10464 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-18 17:19:12 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-18 17:19:20 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 8.0 seconds (process running for 8.963)
2025-02-18 17:26:41 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2025-02-18 17:26:52 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-18 17:26:53 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 8816 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-18 17:26:53 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-18 17:27:01 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 8.512 seconds (process running for 10.056)
2025-02-18 17:34:22 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2025-02-18 21:33:16 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
