2024-09-14 13:13:37 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-09-14 13:13:38 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 1928 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-14 13:13:38 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-14 13:13:44 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 6.186 seconds (process running for 7.405)
2024-09-14 13:14:36 INFO  c.t.controller.TranslationController - Request from email has received: UserRequest[text=как дела, малышка?, originalLanguage=ru, finalLanguage=en]
2024-09-14 13:14:36 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = как дела, малышка? 
2024-09-14 13:14:36 INFO  c.t.external.TranslationDefiner - Request has received: text = как дела, малышка? 
2024-09-14 13:14:36 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-14 13:14:37 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=как дела, малышка?, originalLang=ru, translatedText=What's up, shawty? , targetLang=en, time=2024/09/14 13:14:37, status=200, message=Ok]
2024-09-14 13:14:37 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-14 13:14:37 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-14 13:14:37 INFO  c.t.controller.TranslationController - Response is sending to email
2024-09-14 13:14:58 INFO  c.t.controller.TranslationController - Request from email has received: UserRequest[text=как дела, малышка?, originalLanguage=ктткт, finalLanguage=ыы]
2024-09-14 13:14:58 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = как дела, малышка? 
2024-09-14 13:14:58 INFO  c.t.external.TranslationDefiner - Request has received: text = как дела, малышка? 
2024-09-14 13:14:58 ERROR c.t.external.TranslationDefiner - Something goes wrong with translation for text <как дела, малышка?>, status is 403
